Id,host_rock,p,theta,SDMBearing,SDMAzimuth,longitude,latitude,seg_length,Xstart,Xend,Yend,Ystart
0,greenstone,6.46556466583545,17.9784265718163,-18,162,-117.068,44.5913,267.048,494517.5306,494595.3183,4937424.122,4937663.835
0,greenstone,24.7088225334362,-8.23560891962027,8,188,-117.07,44.5895,256.58,494509.8937,494474.9686,4937218.228,4937459.529
0,greenstone,29.7455005080252,-14.669703612799,15,15,-117.061,44.5689,331.188,495082.1526,495161.5277,4935245.538,4934942.325
0,quartz diorite,7.26263366648239,32.4711413379216,-33,147,-117.443,45.2033,159.409,465112.9933,465187.0767,5005552.747,5005669.164
0,quartz diorite,-20.7598416345941,-15.022057450035,15,15,-117.481,45.2264,351.158,462185.6026,462276.6194,5008384.699,5008045.542
0,quartz diorite,0.209542395063368,22.6198279308888,-23,157,-117.481,45.2236,309.563,462185.6026,462304.6653,5007759.791,5008045.542
0,quartz diorite,-3.94218998703189,11.9112112561042,-12,168,-117.454,45.227,755.599,464340.4084,464483.2837,5007902.252,5008579.587
0,greenstone,-30.1298810037118,64.3044217049949,10,113,-117.1,44.5681,507.421,491829.7801,492145.9578,4934732.284,4934884.42
0,greenstone,24.8686334227067,-4.24984977272789,5,185,-117.036,44.5836,199.77,497169.0257,497156.3489,4936619.24,4936789.833
0,greenstone,11.4206639685414,14.3961523885478,-15,165,-117.035,44.5811,411.481,497156.3489,497257.9491,4936223.423,4936619.24
0,quartz diorite,-15.1308088434791,27.9430606200995,-28,152,-117.272,44.5931,378.759,478403.5076,478564.9037,4937647.795,4937952.066
0,quartz diorite/marble,-17.3352373073653,23.9820353953488,-24,336,-117.307,44.5473,839.008,475778.8357,475458.6892,4933038.744,4932319.076
0,quartz diorite,11.8538266489618,-13.9013552331253,14,194,-117.276,44.602,696.446,478171.4455,478014.2827,4938487.187,4939122.188
0,quartz diorite,-25.8362832069083,35.9252333027097,-35,291,-117.304,44.5351,717.513,476048.3658,475648.1827,4931643.136,4931090.817
0,quartz diorite,-7.24016418774293,10.2347859345642,-9,171,-117.302,44.5303,279.604,476011.9855,476054.9804,4930690.634,4930928.76
0,quartz diorite,-24.4087568348683,34.0113605089939,-33,147,-117.302,44.5358,415.761,475917.3968,476137.0014,4931267.427,4931592.865
0,quartz diorite,-5.26777687831359,7.94348502189208,-8,172,-117.3,44.533,255.6,476144.9389,476176.689,4931008.135,4931235.677
0,quartz diorite,2.41499114848717,3.04478039928188,-3,177,-117.258,44.5862,1358.89,479648.7568,479714.9028,4936369.254,4937612.798
0,quartz diorite,7.52560743833014,-7.70528546564704,7,187,-117.28,44.6012,3167.32,477878.8562,477466.1053,4937174.416,4940225.068
0,quartz diorite,23.9837367500955,-34.9393467971443,35,193,-117.273,44.6034,283.181,478259.8569,478394.7947,4939074.128,4938880.982
0,basalt,-8.68357978422543,8.74976138186194,-9,171,-117.525,45.3817,1599.05,458699.447,458939.0902,5024713.248,5026270.278
0,andesite,-13.0083531963383,-87.9051475380258,5,88,-117.294,45.0577,115.986,476784.2089,476892.6883,4989416.81,4989412.842
0,quartz diorite/basalt,-5.20807890051896,-61.7280590476637,60,60,-117.253,45.0166,390.42,479852.6291,480167.4839,4984937.677,4984768.344
0,quartz diorite,2.10629109934964,-24.5671598972475,25,25,-117.235,45.0193,347.684,481440.796,481576.2629,4985283.109,4984986.775
0,quartz diorite/intermediate metavolcanic rock,5.1208903020335,-16.9023073757573,12,73,-117.21,45.0212,1404.46,483070.7687,483420.0194,4985871.732,4984722.379
0,quartz diorite,4.95321049311248,-2.67855587390863,3,71,-117.247,45.0188,935.092,480515.4089,480557.7424,4985496.993,4984592.116
0,basalt,-1.6791577695991,16.6620525579254,-17,163,-117.524,45.374,160.69,458939.0902,458985.1645,5024559.304,5024713.248
0,quartz diorite,7.54670110096944,41.2155129415854,-41,139,-117.437,45.1394,1009.45,465402.8297,466037.831,4998216.909,4998941.869
0,quartz diorite,-4.00761578513429,12.2115104830812,-13,167,-117.426,45.1282,634.813,466469.7642,466604.0405,4996973.365,4997593.814
0,quartz diorite,11.6550857705151,51.4008878115318,-51,129,-117.426,45.1358,2418.03,465562.903,467392.5004,4997458.877,4998919.379
0,quartz diorite,9.89471596214611,34.9134664959181,-35,325,-117.423,45.2008,1664.13,467352.4759,466447.5991,5006122.802,5004826.341
0,quartz diorite,5.75528234561134,30.4322196327076,1,147,-117.389,45.1307,577.543,469261.2256,469513.9495,4997328.25,4997758.453
0,basalt/quartz diorite,-13.9873503216589,3.57636597305243,2,248,-117.512,45.1504,198.498,459694.1113,459685.6446,4999860.989,4999725.523
0,quartz diorite/basalt,-18.4902377889289,-6.06887348265861,6,186,-117.521,45.1455,2918.9,459161.0959,458858.4119,4997803.117,5000650.039
0,quartz diorite/basalt,-21.1753028601956,-8.93362054037209,9,9,-117.529,45.2098,1451.82,458347.3768,458566.9814,5007073.685,5005676.683
0,quartz diorite,9.6808469539348,49.2319075730317,-48,281,-117.493,45.1614,1117.15,461730.5195,460924.0679,5001402.551,5000707.224
0,quartz diorite,-20.2017260854501,-58.0791269246162,57,57,-117.346,45.1409,313.809,472664.9954,472923.2293,4998737.708,4998576.841
0,andesite,-3.66523924788013,-6.28858077104637,6,108,-117.305,45.3303,2378.62,476125.7545,476374.4633,5020722.942,5018466.042
0,andesite/sand,4.29309511572115,-6.95762984816951,7,189,-117.234,45.1063,529.972,481715.2566,481772.4067,4994994.665,4994526.352
0,quartz diorite,-4.23584775617276,21.5988486332155,-22,158,-117.566,45.2806,678.323,455475.0489,455720.5827,5013957.551,5014577.735
0,quartz diorite,2.23327720505602,29.8226981483945,-29,297,-117.568,45.2897,753.003,455596.6891,455236.3259,5015602.601,5014973.949
0,quartz diorite,-11.6029592153551,10.3999517651099,-10,249,-117.565,45.315,1026.91,455792.2573,455622.3945,5018571.074,5017645.56
0,basalt/volcanic ash,12.5069354118581,13.4276024717591,-13,250,-117.485,45.9047,746.702,462513.1214,462344.3169,5083919.839,5083212.783
0,basalt,36.745320630383,-4.82725490427048,5,161,-116.8,45.3303,1308.06,515650.8377,515759.7801,5020303.976,5019013.975
0,argillite,7.3672622288901,12.4159301985429,9,222,-117.123,44.6351,387.811,490212.328,490174.7571,4942449.382,4942278.726
0,quartz diorite/greenstone,41.1248122571574,-35.4201554523053,35,35,-117.076,44.5394,467.702,493840.3628,494100.9779,4931996.894,4931630.446
0,andesite,4.77424310635348,0.553581777670956,-2,120,-117.243,44.3685,386.033,480560.5304,480557.3553,4912963.08,4912634.467
0,mafic metavolcanic rock,-47.2659168017898,55.8448081117128,-55,305,-117.202,44.373,522.531,484107.2087,483695.7808,4913435.216,4913156.08
0,alluvium,-36.6558300248508,41.5936129490161,-29,318,-117.22,44.3696,417.721,482593.1275,482342.302,4913039.597,4912757.022
0,andesite/quartz diorite/mudstone,-0.782317716544822,-9.34862534137549,8,188,-117.256,45.2397,1535.94,479974.378,479736.7155,5008888.969,5010332.604
0,argillite/mudstone,7.45252367790386,6.39122267199816,-6,274,-117.266,45.2291,679,479109.0551,479036.03,5008776.486,5008124.551
0,argillite/mudstone,14.3291998334079,19.5463719977675,-20,160,-117.27,45.2319,614.267,478751.1878,478941.6882,5008543.517,5009080.093
0,mudstone/andesite,19.4624494037892,28.8970762928684,-29,151,-117.263,45.2361,675.439,479120.1249,479436.3026,5008883.567,5009456.391
0,quartz diorite,5.34571962604238,3.10858289655447,-4,176,-117.267,45.2127,1927.95,478831.6037,478929.1469,5005706.4,5007502.501
0,argillite,7.99399933647012,9.04284870493903,-9,171,-117.283,45.2475,522.681,477790.9005,477870.2757,5010234.704,5010733.445
0,mudstone/quartz diorite,9.83282936096865,10.8331975226522,18,165,-117.266,45.2255,422.642,479109.807,479159.7468,5007806.449,5008067.421
0,quartz diorite,6.95893980062765,12.5008718344144,-11,332,-117.299,45.1758,1461.84,476648.7515,476342.8926,5003198.787,5001819.246
0,quartz diorite,6.46731499123991,12.9570720244772,-13,167,-117.303,45.1574,1207.02,476119.3038,476383.8877,4999906.753,5001056.722
0,quartz diorite,-5.00609836102388,-17.5019595357422,18,18,-117.292,45.141,867.521,476839.6492,477089.681,4999068.72,4998275.815
0,quartz diorite,11.0783132172165,26.2000928788539,-23,308,-117.325,45.1802,812.161,474550.7695,474222.6855,5003355.129,5002688.377
0,quartz diorite,8.9790505441937,15.275130434074,-14,316,-117.291,45.1805,1337.42,477356.9371,477021.0215,5003643.078,5002413.08
0,quartz diorite,7.6236694669293,13.7908218847906,-12,294,-117.302,45.1882,196.058,476272.8445,476229.9819,5004002.052,5003827.426
0,quartz diorite,6.27998631527016,12.1132116054244,-11,333,-117.315,45.2054,714.176,475334.4316,475189.9689,5006173.28,5005500.179
0,quartz diorite,5.44544926487724,10.8157388264392,-9,332,-117.317,45.2043,475.357,475150.149,475065.4821,5005905.812,5005462.634
0,quartz diorite,-11.0467641515294,-28.7059719560517,28,164,-117.315,45.1438,1034.31,474827.1858,475265.3367,4999508.829,4998708.728
0,quartz diorite,7.652066148949,15.832363737526,-13,311,-117.305,45.1647,160.48,476067.9937,476027.777,5001361.617,5001219.8
0,quartz diorite,-15.9826686091058,-7.27501004391396,7,140,-117.484,45.1471,754.806,461961.0123,462048.325,4999759.489,4999075.54
0,quartz diorite,-19.6613079401989,-12.3922870815763,14,117,-117.476,45.2547,708.98,462651.0978,462785.5064,5011586.863,5010975.145
0,quartz diorite,-8.72536246497172,-7.83925239547765,7,164,-117.379,45.1914,459.603,470184.9598,470235.2307,5004462.216,5004097.09
0,andesite,12.31991811165,12.1160196748794,-12,173,-117.258,45.2765,716.506,479802.9359,479677.5232,5014038.804,5013454.603
0,andesite,0.262355143538587,-7.36804210211502,8,284,-117.252,45.2725,194.437,480196.6367,480220.4493,5013343.478,5013159.327
0,andesite,11.7396343323367,11.0341923138446,-12,99,-117.26,45.285,295.206,479681.1744,479629.5806,5014807.262,5014542.678
0,argillite,13.6300829848566,18.9168823412814,-17,295,-117.284,45.253,821.151,477790.9005,477540.9556,5011462.773,5010733.445
0,argillite,10.8836493044257,15.7086587328918,-1,239,-117.252,45.1445,383.667,480148.048,480112.3292,4998964.827,4998837.827
0,argillite,5.11833763483595,0.434060325642092,0,235,-117.253,45.1399,373.659,480122.3173,480119.6714,4998694.158,4998344.907
0,mudstone,-20.6698749723932,-76.3633065102629,54,77,-117.276,45.1389,720.729,478001.6115,478672.3315,4998455.762,4998293.043
0,quartz diorite,9.24072710320808,17.3762024733103,-14,300,-117.288,45.1557,277.009,477398.4925,477325.4674,5000392.679,5000159.316
0,quartz diorite,-8.07251034930075,-25.3743278681744,25,116,-117.286,45.155,335.617,477487.3927,477619.1555,5000337.117,5000059.304
0,quartz diorite,-9.87374187535358,-31.9700680259965,31,177,-117.285,45.1441,418.158,477564.7034,477744.5771,4999108.971,4998820.778
0,quartz diorite,3.70648760765338,3.53231168179241,-2,265,-117.286,45.1429,120.007,477497.1911,477490.5765,4998911.856,4998804.7
0,quartz diorite,6.69159360813981,9.22270300141257,-7,324,-117.283,45.1712,560.279,477827.1735,477743.8296,5002240.139,5001726.847
0,quartz diorite,10.4116895770925,16.1689949279701,-11,330,-117.272,45.1704,943.393,478725.6077,478479.677,5002312.397,5001464.185
0,quartz diorite,9.37302122308973,22.7363446555522,-20,307,-117.351,45.2187,754.049,472483.1177,472216.9183,5007636.702,5007001.464
0,quartz diorite,-12.2339953022168,-22.1338696113139,22,22,-117.353,45.1685,2161.72,471894.939,472697.2895,5002726.698,5000754.093
0,quartz diorite,0.115360777656192,4.53588430766846,-5,144,-117.34,45.171,798.035,473281.3584,473221.0333,5002369.853,5001609.439
0,quartz diorite,10.1054188433595,23.9340747993064,-20,293,-117.325,45.1801,940.07,474555.4223,474226.0154,5003374.35,5002632.193
0,quartz diorite,13.6483163413849,32.8098366594929,-30,312,-117.329,45.1811,581.074,474292.1614,473994.5045,5003349.215,5002887.516
0,quartz diorite,-12.391297457886,9.3746768531752,-8,272,-117.564,45.3156,1023.4,455775.2008,455624.6526,5018657.155,5017745.266
0,quartz diorite,-44.5997139087288,34.0418650523736,-33,327,-117.53,44.4529,686.572,458011.2859,457636.6352,4922619.946,4922065.378
0,quartz diorite,-29.0262859476966,-84.4724710107964,53,87,-117.422,45.195,234.691,466741.6314,466938.4818,5004702.001,5004682.951
0,quartz diorite,12.3050489519211,38.5071344636539,-40,140,-117.42,45.2098,738.512,466828.87,467215.1624,5006099.109,5006584.621
0,quartz diorite,21.2886360267079,58.7561357748669,-42,121,-117.412,45.2049,262.288,467552.5069,467750.9448,5005737.952,5005858.338
0,quartz diorite,14.0653443948204,41.7427566582725,-35,318,-117.407,45.2012,735.994,468274.2916,467844.6074,5005672.777,5005191.234
0,quartz diorite,8.9036535405837,31.1389720544294,-19,328,-117.398,45.1904,566.493,468906.5479,468630.3223,5004379.91,5003922.709
0,quartz diorite,-7.99635527184103,-2.80706507642196,3,225,-117.406,45.0843,1351.55,467920.7107,467984.6694,4993061.966,4991757.532
0,quartz diorite,-6.12132457017462,3.28702244388741,-3,217,-117.408,45.108,641.739,467983.2224,467947.239,4995348.931,4994722.396
0,argillite,8.06566501357926,8.53078325876459,-9,127,-117.274,45.2334,334.279,478465.4373,478417.8122,5009061.043,5008743.543
0,mudstone/andesite/shale,13.3744012951323,16.6321939866146,-16,323,-117.262,45.2338,795.851,479507.0347,479290.0759,5009273.034,5008546.751
0,quartz diorite,7.71467393135951,5.59155801798922,-6,174,-117.256,45.2198,780.323,479843.7296,479917.8131,5007023.638,5007780.348
0,quartz diorite,11.7879769749636,15.0828473402253,-14,164,-117.266,45.2168,1017.62,478967.0001,479225.4103,5006591.764,5007550.616
0,quartz diorite,6.34846951571407,3.07972790355006,-3,176,-117.257,45.219,730.851,479880.65,479842.2854,5007671.899,5006958.845
0,quartz diorite,3.9141311464466,-1.12338106429749,1,135,-117.259,45.2088,1131.59,479659.9871,479681.9101,5006754.186,5005636.191
0,quartz diorite,1.83424210418752,-5.63523081309612,6,186,-117.257,45.203,1151.71,479837.7874,479947.8543,5006073.151,5004957.665
0,quartz diorite,2.48910938867624,-2.61877203999106,2,182,-117.266,45.2092,1967.79,479074.3198,478987.0071,5005300.192,5007209.165
0,quartz diorite,6.5506663258352,5.78239667282591,-6,174,-117.269,45.1953,325.638,478867.9443,478899.6944,5004530.253,5004843.785
0,quartz diorite,-11.8148799334503,-18.0370772334061,17,93,-117.398,45.1029,495.423,468572.9093,468722.1346,4994691.916,4994233.657
0,quartz diorite,-4.93460968444071,12.8476855879579,-12,244,-117.439,45.1233,378.097,465498.9017,465416.3516,4996913.321,4996551.37
0,quartz diorite,-7.54093579533332,11.4860827649985,-12,168,-117.466,45.1221,583.435,463301.781,463414.8588,4996320.403,4996876.89
0,quartz diorite,-15.1567602999245,-7.7943161748124,8,205,-117.476,45.1181,576.436,462548.8846,462625.0847,4996446.178,4995889.493
0,basalt,28.6746197869175,12.8749987596279,-14,166,-116.896,44.7946,293.007,508252.9385,508316.4386,4960010.403,4960288.216
0,quartz diorite,-17.6760054840771,-12.0252782799389,12,12,-117.449,45.2644,279.294,464754.6949,464811.845,5012549.125,5012280.837
0,quartz diorite,-18.041108995246,-12.7500325675598,13,13,-117.478,45.1702,285.892,462440.0855,462501.6013,5002093.838,5001821.978
0,argillite,27.9101959443573,-22.4796542480375,24,252,-117.112,44.6309,62.9306,491134.0654,491153.1154,4941965.403,4941919.366
0,argillite,-0.021341927715937,25.0510100131934,-25,335,-117.112,44.6331,178.661,491149.2194,491080.9568,4942245.573,4942099.523
0,quartz diorite,9.41208469477228,20.9583799000881,-22,315,-117.305,45.1582,869.518,476137.3477,475847.0992,5000884.046,5000126.278
0,quartz diorite,-6.30121628732155,10.2828938990808,-11,169,-117.306,44.5998,2367.56,475419.2377,475832.65,4937388.094,4939666.822
0,quartz diorite,-16.3655565346917,-44.2292278484118,43,43,-117.28,45.1765,598.251,477794.756,478158.5588,5002868.382,5002494.657
0,quartz diorite,-25.1236944074712,-80.3217485456796,26,81,-117.277,45.1736,1075.61,477827.8289,478681.1119,5002421.896,5002276.375
0,quartz diorite,14.9872738092149,49.1421939285727,-50,130,-117.437,45.191,2121.29,464934.1794,466534.0298,5003622.485,5005006.258
0,mudstone/quartz diorite,-8.55015642859749,-21.1507184609691,21,21,-117.354,45.0815,1119.35,471904.0454,472294.3066,4992598.662,4991589.936
0,mudstone/quartz diorite,-8.55015642859749,-21.1507184609691,21,21,-117.354,45.0815,1119.35,471904.0454,472294.3066,4992598.662,4991589.936
0,quartz diorite/mudstone,2.38654246246145,4.93651783953053,-4,253,-117.306,45.1243,1792.68,475872.1722,475723.3438,4997670.556,4995947.453
0,quartz diorite,-15.3923762142502,-28.6441658209116,28,28,-117.328,45.2148,300.827,474223.7741,474361.3577,5006964.987,5006713.103
0,quartz diorite,2.98241518926611,1.39718553339851,-2,178,-117.285,45.1562,227.63,477565.8037,477571.0954,5000230.324,5000447.283
0,quartz diorite,3.17693830257942,8.13013700234821,-8,183,-117.326,45.1947,192.778,474350.8893,474324.4309,5004723.928,5004538.72
0,quartz diorite,-16.5355503862717,-31.6074906287202,32,32,-117.34,45.1943,562.427,473070.8766,473324.8771,5004888.059,5004475.308
0,quartz diorite,-20.2829348479553,-43.2100929129898,42,222,-117.327,45.1992,195.17,474433.5266,474310.4951,5005045.364,5005176.333
0,quartz diorite,19.9584680671529,30.0524381919437,-31,149,-117.252,45.2195,873.048,480039.5217,480468.1475,5007034.222,5007775.057
0,quartz diorite,6.44041548117769,3.45661912344934,-4,176,-117.258,45.2207,801.563,479716.7294,479764.3545,5007103.014,5007891.474
0,quartz diorite,2.30263073756284,5.33214819538621,-6,174,-117.313,45.1418,258.093,475379.3848,475402.5359,4998629.672,4998877.72
0,quartz diorite,11.6546701601387,34.6951354853505,-34,326,-117.402,45.2104,524.37,468642.4819,468356.7314,5006654.153,5006241.402
0,quartz diorite,11.9026470974702,48.9182512908024,-50,130,-117.446,45.1613,282.972,464889.7487,465096.1241,5000910.373,5001090.29
0,quartz diorite,-2.40316696036092,19.7222884382781,-19,341,-117.464,45.1655,736.926,463721.3464,463480.0459,5001825.833,5001152.732
0,quartz diorite,-4.01663159496845,13.7271211392187,-14,166,-117.503,45.3226,583.686,460562.9971,460698.4641,5018655.288,5019209.855
0,basalt,2.08221246746819,34.0366087975065,-34,146,-116.943,44.5817,924.982,504301.6846,504811.0085,4936173.588,4936927.652
0,quartz diorite,4.65594736761187,-3.28387388911791,3,197,-117.249,45.0372,267.241,480445.0385,480459.8552,4987241.526,4986983.293
0,quartz diorite,0.88556776515837,-18.4349874926538,14,25,-117.261,45.0295,112.213,479398.0696,479427.703,4986307.745,4986218.845
0,andesite,12.2296094135585,87.9548535785507,-47,91,-117.288,45.0497,153.823,477260.7031,477408.8701,4988494.24,4988499.531
0,quartz diorite,42.3448065314007,-70.8210309265055,70,70,-117.282,44.544,199.904,477541.9417,477724.5046,4932391.908,4932328.408
0,quartz diorite,-18.7669750177103,-18.4349642908483,-12,233,-117.44,45.2126,429.838,465467.5356,465430.4939,5006462.916,5006574.041
0,quartz diorite,19.7486671062327,52.288952623683,-52,308,-117.337,45.1761,797.51,473857.665,473241.7137,5002791.521,5002315.27
0,quartz diorite,16.3839810034564,42.1134596251916,-41,319,-117.335,45.1741,500.387,473865.9942,473537.5263,5002575.022,5002211.671
0,quartz diorite,19.7486671062327,52.288952623683,-52,308,-117.337,45.1761,797.51,473857.665,473241.7137,5002791.521,5002315.27
